heliostat_id,x (m),y (m)
0,6.979101978453761,159.84771545309724
1,20.88419075520825,158.63117781980966
2,34.63033823009646,156.20736113918935
3,48.1129279206837,152.59471211971632
4,61.22934917841437,147.82072520180589
5,73.87977811760543,141.92173330851548
6,85.9679373354918,134.94263133006172
7,97.4018286413953,126.93653444659762
8,108.09443321850564,117.96437388961985
9,117.96437388961985,108.09443321850564
10,126.93653444659762,97.4018286413953
11,134.9426313300617,85.96793733549183
12,141.92173330851548,73.87977811760541
13,147.82072520180589,61.229349178414374
14,152.59471211971632,48.11292792068369
15,156.20736113918935,34.63033823009646
16,158.63117781980966,20.884190755208273
17,159.84771545309724,6.979101978453761
18,159.84771545309724,-6.979101978453742
19,158.63117781980966,-20.884190755208255
20,156.20736113918935,-34.63033823009645
21,152.59471211971632,-48.1129279206837
22,147.82072520180589,-61.22934917841435
23,141.92173330851548,-73.87977811760541
24,134.9426313300617,-85.96793733549184
25,126.93653444659762,-97.4018286413953
26,117.96437388961985,-108.09443321850564
27,108.09443321850566,-117.96437388961984
28,97.40182864139534,-126.9365344465976
29,85.9679373354918,-134.94263133006172
30,73.87977811760543,-141.92173330851548
31,61.22934917841438,-147.82072520180589
32,48.11292792068373,-152.5947121197163
33,34.63033823009644,-156.20736113918935
34,20.88419075520825,-158.63117781980966
35,6.979101978453771,-159.84771545309724
36,-6.979101978453732,-159.84771545309724
37,-20.884190755208213,-158.6311778198097
38,-34.63033823009647,-156.20736113918935
39,-48.11292792068369,-152.59471211971632
40,-61.229349178414346,-147.82072520180589
41,-73.87977811760538,-141.92173330851548
42,-85.96793733549183,-134.9426313300617
43,-97.4018286413953,-126.93653444659762
44,-108.09443321850563,-117.96437388961985
45,-117.96437388961982,-108.09443321850566
46,-126.93653444659759,-97.40182864139534
47,-134.9426313300617,-85.96793733549188
48,-141.92173330851543,-73.8797781176055
49,-147.82072520180589,-61.229349178414324
50,-152.59471211971632,-48.112927920683674
51,-156.20736113918935,-34.63033823009645
52,-158.63117781980966,-20.88419075520826
53,-159.84771545309724,-6.979101978453781
54,-159.84771545309724,6.979101978453722
55,-158.6311778198097,20.884190755208202
56,-156.20736113918935,34.63033823009639
57,-152.5947121197163,48.11292792068375
58,-147.82072520180586,61.2293491784144
59,-141.92173330851546,73.87977811760545
60,-134.94263133006172,85.96793733549183
61,-126.93653444659762,97.40182864139528
62,-117.96437388961988,108.09443321850563
63,-108.09443321850567,117.96437388961982
64,-97.40182864139535,126.93653444659759
65,-85.96793733549188,134.9426313300617
66,-73.87977811760538,141.92173330851548
67,-61.22934917841433,147.82072520180589
68,-48.11292792068368,152.59471211971632
69,-34.63033823009646,156.20736113918935
70,-20.88419075520827,158.63117781980966
71,-6.979101978453791,159.84771545309724
72,0.0,174.04
73,14.00440161945897,173.4756419076779
74,27.917979320484587,171.78622770950236
75,41.65049821260655,168.9827139048301
76,55.11289764120827,165.0832823564812
77,68.21786878004745,160.11322237438176
78,80.88042086249747,154.10476670468464
79,93.01843237928249,147.09688248804204
80,104.55318366797783,139.13501854274534
81,115.40986744022797,130.27081061169844
82,125.51807393571747,120.56174648481068
83,134.812247556485,110.07079316861946
84,143.23211202013195,98.86598852109037
85,150.7230612746437,87.02000000000001
86,157.23651363959092,74.60965338658755
87,162.73022687696957,61.715434540882924
88,167.16857214832402,48.42096742001944
89,170.52276508143626,34.81247174478281
90,172.7710524480253,20.978203831636453
91,173.89885324177996,7.007884216642667
92,173.89885324178,-7.007884216642569
93,172.7710524480253,-20.97820383163639
94,170.52276508143626,-34.812471744782755
95,167.16857214832405,-48.42096742001938
96,162.7302268769696,-61.71543454088287
97,157.23651363959095,-74.6096533865875
98,150.7230612746437,-87.01999999999995
99,143.23211202013195,-98.86598852109033
100,134.812247556485,-110.07079316861943
101,125.51807393571748,-120.56174648481067
102,115.40986744022803,-130.27081061169838
103,104.55318366797789,-139.1350185427453
104,93.01843237928253,-147.096882488042
105,80.8804208624975,-154.10476670468464
106,68.21786878004754,-160.11322237438173
107,55.11289764120834,-165.08328235648116
108,41.65049821260661,-168.98271390483006
109,27.91797932048464,-171.78622770950236
110,14.004401619459085,-173.4756419076779
111,9.860303897466543e-14,-174.04
112,-14.004401619458886,-173.4756419076779
113,-27.917979320484594,-171.78622770950236
114,-41.65049821260649,-168.9827139048301
115,-55.11289764120823,-165.08328235648122
116,-68.21786878004744,-160.11322237438176
117,-80.88042086249746,-154.10476670468464
118,-93.01843237928243,-147.09688248804207
119,-104.55318366797779,-139.13501854274537
120,-115.40986744022796,-130.27081061169847
121,-125.51807393571742,-120.5617464848107
122,-134.81224755648492,-110.07079316861953
123,-143.23211202013195,-98.86598852109037
124,-150.72306127464367,-87.02000000000007
125,-157.23651363959087,-74.60965338658768
126,-162.73022687696957,-61.715434540882946
127,-167.168572148324,-48.42096742001953
128,-170.52276508143626,-34.8124717447828
129,-172.7710524480253,-20.978203831636513
130,-173.89885324177996,-7.007884216642611
131,-173.89885324178,7.007884216642393
132,-172.77105244802533,20.978203831636296
133,-170.5227650814363,34.812471744782584
134,-167.16857214832405,48.420967420019316
135,-162.73022687696965,61.71543454088274
136,-157.23651363959095,74.60965338658748
137,-150.7230612746437,87.02000000000001
138,-143.23211202013198,98.86598852109032
139,-134.81224755648495,110.07079316861947
140,-125.5180739357176,120.56174648481054
141,-115.40986744022806,130.27081061169838
142,-104.55318366797796,139.13501854274523
143,-93.01843237928254,147.096882488042
144,-80.88042086249759,154.10476670468458
145,-68.2178687800475,160.11322237438173
146,-55.11289764120836,165.08328235648116
147,-41.650498212606706,168.98271390483004
148,-27.917979320484815,171.7862277095023
149,-14.004401619459104,173.4756419076779
150,7.058784437873303,188.64998565136344
151,21.13687772773466,187.5949784080661
152,35.096765023429334,185.49086394992662
153,48.86037697254407,182.34940933850288
154,62.35074187402035,178.18818286227423
155,75.49241613512932,173.03045578764582
156,88.21190618264518,166.90507221658723
157,100.43807946871829,159.84628777871393
158,112.10256227293678,151.89357805991116
159,123.14012207590626,143.09141783884488
160,133.48903236595882,133.48903236595882
161,143.09141783884488,123.14012207590626
162,151.89357805991116,112.10256227293674
163,159.84628777871393,100.43807946871826
164,166.90507221658723,88.21190618264518
165,173.03045578764582,75.49241613512939
166,178.18818286227423,62.35074187402036
167,182.34940933850288,48.86037697254407
168,185.4908639499266,35.09676502342936
169,187.5949784080661,21.13687772773467
170,188.64998565136344,7.058784437873341
171,188.64998565136344,-7.058784437873277
172,187.5949784080661,-21.13687772773461
173,185.49086394992662,-35.09676502342929
174,182.34940933850288,-48.86037697254409
175,178.18818286227423,-62.35074187402033
176,173.03045578764582,-75.49241613512933
177,166.90507221658726,-88.21190618264511
178,159.84628777871393,-100.43807946871824
179,151.8935780599112,-112.10256227293674
180,143.09141783884493,-123.14012207590619
181,133.48903236595882,-133.4890323659588
182,123.1401220759063,-143.09141783884485
183,112.10256227293682,-151.89357805991114
184,100.43807946871829,-159.84628777871393
185,88.21190618264522,-166.9050722165872
186,75.4924161351294,-173.0304557876458
187,62.35074187402044,-178.18818286227418
188,48.86037697254412,-182.34940933850285
189,35.09676502342941,-185.4908639499266
190,21.136877727734685,-187.5949784080661
191,7.058784437873269,-188.64998565136344
192,-7.058784437873308,-188.64998565136344
193,-21.13687772773464,-187.5949784080661
194,-35.096765023429285,-185.49086394992662
195,-48.860376972544074,-182.34940933850288
196,-62.350741874020315,-178.18818286227423
197,-75.49241613512928,-173.03045578764585
198,-88.21190618264518,-166.90507221658723
199,-100.43807946871824,-159.84628777871393
200,-112.10256227293672,-151.8935780599112
201,-123.14012207590619,-143.09141783884493
202,-133.4890323659588,-133.48903236595882
203,-143.09141783884493,-123.14012207590623
204,-151.8935780599111,-112.10256227293685
205,-159.84628777871393,-100.43807946871829
206,-166.90507221658726,-88.21190618264515
207,-173.0304557876458,-75.49241613512942
208,-178.1881828622742,-62.35074187402038
209,-182.34940933850288,-48.860376972544046
210,-185.4908639499266,-35.09676502342943
211,-187.59497840806614,-21.13687772773453
212,-188.64998565136344,-7.058784437873281
213,-188.64998565136344,7.0587844378733795
214,-187.5949784080661,21.13687772773463
215,-185.4908639499266,35.096765023429356
216,-182.3494093385029,48.86037697254398
217,-178.18818286227423,62.35074187402031
218,-173.03045578764574,75.4924161351295
219,-166.90507221658717,88.21190618264524
220,-159.84628777871384,100.43807946871837
221,-151.89357805991116,112.10256227293678
222,-143.09141783884485,123.1401220759063
223,-133.48903236595882,133.48903236595876
224,-123.14012207590623,143.0914178388449
225,-112.10256227293672,151.89357805991122
226,-100.43807946871816,159.84628777871401
227,-88.21190618264517,166.90507221658723
228,-75.49241613512928,173.03045578764585
229,-62.35074187402039,178.1881828622742
230,-48.86037697254405,182.34940933850288
231,-35.096765023429434,185.4908639499266
232,-21.13687772773454,187.5949784080661
233,-7.058784437873293,188.64998565136344
234,0.0,204.226
235,14.089785457117662,203.73938505299458
236,28.112426670079014,202.28185915380408
237,42.001099367628484,199.86036807709175
238,55.68961769949535,196.48645133057917
239,69.11274964211118,192.1761871640367
240,82.20652785890861,186.95011594910144
241,94.90855453381067,180.83314229505245
242,107.15829872524021,173.8544163670057
243,118.89738482362212,166.04719497210277
244,130.06987073774707,157.4486830756795
245,140.62251448431212,148.0998565026632
246,150.50502791021717,138.0452666691066
247,159.67031633851585,127.33282827440172
248,168.07470299599788,116.01359096591703
249,175.67813715290362,104.14149606417986
250,182.4443849828904,91.77311950791949
251,188.34120223371605,78.9674022439542
252,193.34048788578454,65.78536934673852
253,197.41841806630143,52.289839206092594
254,200.55555958087746,38.54512416896737
255,202.73696252154917,24.616724061823597
256,203.95223150989887,10.571014054130522
257,204.1955752357665,-3.525071649543862
258,203.4658340554803,-17.604358781499382
259,201.76648551808657,-31.599753126879996
260,199.1056277932451,-45.44456025816225
261,195.49594107976273,-59.072803364475064
262,190.95462717867153,-72.4195376611489
263,185.5033275188132,-85.4211598811906
264,179.1680200255752,-98.01571137381538
265,171.9788953242461,-110.1431733656335
266,163.97021286793722,-121.745752977438
267,155.1801376756867,-132.76815863359303
268,145.65055845876412,-143.15786355157067
269,135.4268880018847,-152.86535605599124
270,124.55784675060924,-161.84437552430342
271,113.09523063623459,-170.05213283971742
272,101.09366424459245,-177.44951430083321
273,88.61034050502245,-184.00126801623944
274,75.70474814001797,-189.67617189582998
275,62.438388174372804,-194.44718243828152
276,48.874480854790754,-198.2915636056529
277,35.077664376619,-201.19099517096006
278,21.11368685341164,-203.13166002240044
279,7.049092997227553,-204.10431000818292
280,-7.049092997227594,-204.1043100081829
281,-21.11368685341168,-203.13166002240044
282,-35.07766437661895,-201.19099517096006
283,-48.8744808547908,-198.2915636056529
284,-62.43838817437293,-194.4471824382815
285,-75.70474814001793,-189.67617189583
286,-88.6103405050224,-184.00126801623946
287,-101.09366424459256,-177.44951430083316
288,-113.09523063623462,-170.05213283971742
289,-124.55784675060929,-161.8443755243034
290,-135.42688800188466,-152.86535605599127
291,-145.65055845876418,-143.15786355157064
292,-155.18013767568678,-132.76815863359292
293,-163.97021286793716,-121.74575297743812
294,-171.97889532424617,-110.14317336563339
295,-179.1680200255753,-98.01571137381524
296,-185.50332751881325,-85.42115988119048
297,-190.9546271786715,-72.41953766114894
298,-195.49594107976273,-59.072803364475114
299,-199.10562779324513,-45.44456025816212
300,-201.7664855180866,-31.599753126879822
301,-203.4658340554803,-17.604358781499386
302,-204.1955752357665,-3.525071649543867
303,-203.95223150989884,10.571014054130563
304,-202.7369625215492,24.616724061823458
305,-200.55555958087746,38.545124168967405
306,-197.41841806630143,52.28983920609267
307,-193.3404878857845,65.78536934673862
308,-188.34120223371605,78.9674022439543
309,-182.44438498289043,91.77311950791942
310,-175.67813715290353,104.14149606417998
