heliostat_id,x (m),y (m)
0,5.828740425604062,179.90560242819268
1,17.461773513836654,179.1510158099905
2,29.02156585555677,177.64500757210033
3,40.45963166437129,175.3938944364467
4,51.727995717269074,172.4071183538377
5,62.77939457937882,168.69720690114184
6,73.5674748432401,164.27972073627723
7,84.0469875511033,159.17318833140425
8,94.17397798478342,153.39902825807448
9,103.90597002702351,146.98145935029797
10,113.20214432109202,139.94739912233686
11,122.02350948135059,132.32635086729607
12,130.33306563667588,124.15027991005876
13,138.0959596207775,115.45347953360519
14,145.27963115848968,106.27242714106609
15,151.85394943488083,96.64563125681708
16,157.7913394743626,86.61347000834489
17,163.0668977997204,76.21802176634826
18,167.6584968859516,65.50288865342777
19,171.54687797079495,54.513013661631156
20,174.71573183267265,43.29449214592567
21,177.15176719723337,31.89437848426011
22,178.84476648557597,20.360488715151185
23,179.78762867032634,8.741199980600694
24,179.9763990598138,-2.91475238445022
25,179.4102858854225,-14.5584792650527
26,178.09166362254408,-26.141142824188208
27,176.0260630312027,-37.61416134562948
28,173.22214795812545,-48.92941300254168
29,169.69167899755817,-60.03943769714767
30,165.4494641632462,-70.89763612487167
31,160.51329677847858,-81.45846522801699
32,154.90388084470652,-91.67762921917736
33,148.64474420176617,-101.51226537316319
34,141.76213984394178,-110.92112380816693
35,134.28493580578427,-119.86474050210262
36,126.24449407954184,-128.3056028184293
37,117.67453907206543,-136.20830684718516
38,108.6110161529264,-143.53970590128978
39,99.0919408870446,-150.26904954526884
40,89.15723958419773,-156.3681125732672
41,78.84858183420278,-161.81131339537117
42,68.20920573017517,-166.57582133568675
43,57.283736512939846,-170.6416523921287
44,46.11799939726298,-173.99175305627003
45,34.75882736497577,-176.61207184168302
46,23.253864731173095,-178.49161822075652
47,11.65136730739838,-179.6225087227881
48,2.2043642384652358e-14,-180.0
49,-11.651367307398498,-179.6225087227881
50,-23.253864731173135,-178.49161822075652
51,-34.758827364975886,-176.61207184168302
52,-46.11799939726302,-173.99175305627003
53,-57.28373651293996,-170.64165239212866
54,-68.20920573017519,-166.57582133568675
55,-78.84858183420289,-161.81131339537112
56,-89.15723958419775,-156.36811257326718
57,-99.0919408870447,-150.26904954526876
58,-108.61101615292644,-143.53970590128975
59,-117.67453907206551,-136.20830684718507
60,-126.24449407954185,-128.30560281842926
61,-134.28493580578436,-119.86474050210252
62,-141.7621398439418,-110.92112380816688
63,-148.6447442017662,-101.51226537316316
64,-154.90388084470655,-91.67762921917732
65,-160.5132967784786,-81.45846522801696
66,-165.4494641632462,-70.89763612487167
67,-169.69167899755817,-60.039437697147676
68,-173.22214795812545,-48.92941300254168
69,-176.0260630312027,-37.61416134562948
70,-178.09166362254408,-26.141142824188215
71,-179.4102858854225,-14.558479265052705
72,-179.9763990598138,-2.914752384450224
