heliostat_id,x (m),y (m)
0,7.534862343517605,119.76320741139259
1,22.485757750286954,117.87447008744265
2,37.08203932499369,114.12678195541842
3,51.093514987808724,108.57924629592233
4,64.2992153974796,101.31935106024181
5,76.49087876984277,92.46158913309469
6,87.4762352905694,82.14565271144264
7,97.0820393249937,70.53423027509677
8,105.15680160526364,57.81044089220582
9,111.57317830659017,44.17494632216137
10,116.22997933543573,29.842786459782594
11,119.05376415773735,15.039988027716511
12,120.0,7.34788079488412e-15
13,119.05376415773733,-15.039988027716525
14,116.22997933543574,-29.842786459782555
15,111.57317830659018,-44.17494632216133
16,105.15680160526364,-57.810440892205804
17,97.0820393249937,-70.53423027509676
18,87.4762352905694,-82.14565271144261
19,76.49087876984274,-92.46158913309472
20,64.2992153974796,-101.31935106024181
21,51.093514987808696,-108.57924629592235
22,37.0820393249937,-114.12678195541842
23,22.485757750287004,-117.87447008744263
24,7.5348623435175766,-119.76320741139259
25,-7.534862343517601,-119.76320741139259
26,-22.48575775028697,-117.87447008744263
27,-37.08203932499367,-114.12678195541844
28,-51.093514987808675,-108.57924629592236
29,-64.29921539747961,-101.3193510602418
30,-76.49087876984275,-92.4615891330947
31,-87.4762352905694,-82.14565271144264
32,-97.08203932499369,-70.53423027509679
33,-105.15680160526362,-57.81044089220583
34,-111.57317830659018,-44.17494632216134
35,-116.22997933543571,-29.842786459782637
36,-119.05376415773735,-15.039988027716447
37,-120.0,8.453776797936266e-14
38,-119.05376415773733,15.039988027716614
39,-116.22997933543573,29.84278645978259
40,-111.57317830659015,44.17494632216139
41,-105.15680160526361,57.81044089220588
42,-97.08203932499364,70.53423027509685
43,-87.4762352905693,82.14565271144271
44,-76.49087876984275,92.46158913309472
45,-64.29921539747956,101.31935106024183
46,-51.09351498780867,108.57924629592236
47,-37.082039324993616,114.12678195541845
48,-22.485757750286858,117.87447008744266
49,-7.534862343517592,119.76320741139259
50,0.0,133.52
51,14.949496849313666,132.68045426494575
52,29.7109951018471,130.1723748345171
53,44.098860352253915,126.02730226277325
54,57.93215684697636,120.29736324233102
55,71.03692285632776,113.0546150809605
56,83.2483583441781,104.39013953913135
57,94.41289742402783,94.41289742402783
58,104.39013953913135,83.24835834417811
59,113.0546150809605,71.03692285632775
60,120.29736324233103,57.93215684697635
61,126.02730226277325,44.098860352253894
62,130.1723748345171,29.710995101847107
63,132.68045426494575,14.949496849313674
64,133.52,8.17574203110773e-15
65,132.68045426494575,-14.94949684931366
66,130.1723748345171,-29.710995101847093
67,126.02730226277323,-44.09886035225393
68,120.29736324233102,-57.932156846976355
69,113.05461508096049,-71.03692285632779
70,104.39013953913131,-83.24835834417814
71,94.41289742402783,-94.41289742402782
72,83.24835834417807,-104.39013953913138
73,71.03692285632776,-113.0546150809605
74,57.932156846976376,-120.297363242331
75,44.09886035225393,-126.02730226277325
76,29.710995101847114,-130.1723748345171
77,14.949496849313624,-132.68045426494575
78,1.635148406221546e-14,-133.52
79,-14.949496849313709,-132.68045426494575
80,-29.710995101847086,-130.1723748345171
81,-44.09886035225395,-126.02730226277323
82,-57.93215684697635,-120.29736324233102
83,-71.03692285632773,-113.05461508096052
84,-83.24835834417814,-104.39013953913131
85,-94.41289742402782,-94.41289742402786
86,-104.39013953913133,-83.24835834417813
87,-113.0546150809605,-71.03692285632776
88,-120.29736324233106,-57.93215684697628
89,-126.02730226277323,-44.098860352253936
90,-130.17237483451711,-29.710995101847008
91,-132.68045426494575,-14.94949684931369
92,-133.52,-2.452722609332319e-14
93,-132.68045426494575,14.949496849313642
94,-130.1723748345171,29.710995101847193
95,-126.02730226277325,44.09886035225389
96,-120.29736324233103,57.93215684697635
97,-113.05461508096046,71.03692285632782
98,-104.39013953913137,83.2483583441781
99,-94.41289742402786,94.4128974240278
100,-83.24835834417813,104.39013953913133
101,-71.03692285632766,113.05461508096056
102,-57.9321568469764,120.297363242331
103,-44.09886035225394,126.02730226277323
104,-29.71099510184702,130.17237483451711
105,-14.94949684931358,132.68045426494575
106,7.481692624179288,147.52640757327924
107,22.368305581866053,146.01258699645132
108,37.025389455129165,143.00047969044024
109,51.302542729225486,138.52099395223814
110,65.05326249148752,132.6200953672317
111,78.1364477494576,125.35833514009464
112,90.41784731801057,116.81022875748909
113,101.77143741818414,107.06349135833668
114,112.08071485168831,96.21813765779576
115,121.23989248137404,84.38545566094233
116,129.1549847504131,71.68686469724116
117,135.744772101294,58.252669493918965
118,140.94163439838962,44.22072307313252
119,144.6922448020535,29.73501219341652
120,146.9581169741572,14.944179850695507
121,147.716,9.044996329142522e-15
122,146.9581169741572,-14.944179850695553
123,144.6922448020535,-29.73501219341653
124,140.94163439838962,-44.22072307313256
125,135.744772101294,-58.25266949391899
126,129.15498475041312,-71.68686469724115
127,121.23989248137404,-84.38545566094231
128,112.08071485168828,-96.21813765779581
129,101.7714374181841,-107.0634913583367
130,90.41784731801054,-116.81022875748911
131,78.13644774945762,-125.35833514009462
132,65.05326249148749,-132.6200953672317
133,51.30254272922545,-138.52099395223814
134,37.025389455129144,-143.00047969044024
135,22.36830558186603,-146.01258699645132
136,7.481692624179271,-147.52640757327924
137,-7.481692624179301,-147.52640757327924
138,-22.368305581866057,-146.01258699645132
139,-37.02538945512917,-143.00047969044024
140,-51.30254272922554,-138.52099395223811
141,-65.05326249148752,-132.6200953672317
142,-78.1364477494576,-125.35833514009464
143,-90.41784731801056,-116.81022875748909
144,-101.77143741818412,-107.06349135833669
145,-112.08071485168836,-96.21813765779574
146,-121.23989248137403,-84.38545566094234
147,-129.15498475041312,-71.68686469724112
148,-135.744772101294,-58.25266949391899
149,-140.94163439838962,-44.220723073132504
150,-144.6922448020535,-29.735012193416537
151,-146.95811697415718,-14.94417985069562
152,-147.716,-2.7134988987427562e-14
153,-146.9581169741572,14.944179850695567
154,-144.6922448020535,29.735012193416484
155,-140.94163439838965,44.220723073132454
156,-135.74477210129402,58.25266949391894
157,-129.15498475041315,71.68686469724108
158,-121.23989248137407,84.38545566094231
159,-112.08071485168838,96.2181376577957
160,-101.77143741818415,107.06349135833666
161,-90.41784731801056,116.8102287574891
162,-78.13644774945763,125.3583351400946
163,-65.05326249148752,132.6200953672317
164,-51.30254272922541,138.52099395223817
165,-37.025389455129286,143.00047969044022
166,-22.36830558186611,146.01258699645132
167,-7.481692624179421,147.52640757327924
168,0.0,162.58800000000002
169,15.001728028419345,161.8944282554571
170,29.875466602760543,159.81963033140624
171,44.49431822983981,156.38130767218234
172,58.733560022036826,151.6087948343954
173,72.47170778899581,145.5428092148369
174,85.59155249790352,138.23510366400654
175,97.98116025963054,129.7480249490396
176,109.53482730920646,120.15398183307254
177,120.15398183307255,109.53482730920646
178,129.7480249490396,97.98116025963057
179,138.23510366400652,85.59155249790354
180,145.5428092148369,72.47170778899581
181,151.6087948343954,58.73356002203682
182,156.38130767218234,44.494318229839834
183,159.81963033140624,29.875466602760575
184,161.8944282554571,15.00172802841935
185,162.58800000000002,9.955643688988495e-15
186,161.8944282554571,-15.001728028419366
187,159.81963033140624,-29.875466602760515
188,156.38130767218234,-44.494318229839784
189,151.6087948343954,-58.733560022036826
190,145.5428092148369,-72.4717077889958
191,138.23510366400652,-85.59155249790356
192,129.7480249490396,-97.98116025963054
193,120.15398183307259,-109.5348273092064
194,109.53482730920643,-120.15398183307258
195,97.98116025963056,-129.7480249490396
196,85.59155249790358,-138.2351036640065
197,72.47170778899583,-145.54280921483686
198,58.73356002203689,-151.6087948343954
199,44.494318229839784,-156.38130767218234
200,29.875466602760547,-159.81963033140624
201,15.001728028419395,-161.8944282554571
202,1.991128737797699e-14,-162.58800000000002
203,-15.001728028419285,-161.89442825545711
204,-29.87546660276058,-159.81963033140624
205,-44.49431822983981,-156.38130767218234
206,-58.73356002203679,-151.60879483439544
207,-72.47170778899579,-145.5428092148369
208,-85.59155249790349,-138.23510366400654
209,-97.98116025963051,-129.7480249490396
210,-109.53482730920646,-120.15398183307254
211,-120.1539818330725,-109.53482730920649
212,-129.74802494903957,-97.98116025963057
213,-138.2351036640065,-85.59155249790358
214,-145.54280921483692,-72.47170778899577
215,-151.6087948343954,-58.73356002203683
216,-156.38130767218234,-44.494318229839855
217,-159.81963033140622,-29.87546660276063
218,-161.8944282554571,-15.001728028419477
219,-162.58800000000002,-2.986693106696548e-14
220,-161.8944282554571,15.001728028419418
221,-159.81963033140627,29.875466602760426
222,-156.38130767218234,44.4943182298398
223,-151.60879483439544,58.733560022036784
224,-145.54280921483692,72.47170778899572
225,-138.23510366400652,85.59155249790354
226,-129.74802494903963,97.98116025963051
